,stationName,dataTime,so2Value,coValue,o3Value,no2Value,pm10Value,khaiValue,so2Grade
0,정릉로,2024-12-18 16:00,0.004,0.5,0.020,0.026,37,56,1
1,도봉구,2024-12-18 16:00,0.004,0.5,0.034,0.013,33,54,1
2,은평구,2024-12-18 16:00,0.004,0.5,0.024,0.011,35,54,1
3,서대문구,2024-12-18 16:00,0.004,0.4,0.030,0.013,34,51,1
4,마포구,2024-12-18 16:00,0.004,0.3,0.026,0.014,34,56,1
5,신촌로,2024-12-18 16:00,0.004,0.6,0.015,0.027,37,54,1
6,강서구,2024-12-18 16:00,0.003,0.3,0.031,0.010,34,54,1
7,공항대로,2024-12-18 16:00,0.002,0.4,0.027,0.030,40,54,1
8,구로구,2024-12-18 16:00,0.003,0.3,0.026,0.008,33,52,1
9,영등포구,2024-12-18 16:00,0.004,0.4,0.027,0.014,30,51,1
10,영등포로,2024-12-18 16:00,0.003,0.5,0.022,0.020,31,50,1
11,동작구,2024-12-18 16:00,0.003,0.4,0.024,0.015,33,52,1
12,동작대로 중앙차로,2024-12-18 16:00,0.003,0.4,0.018,0.029,50,56,1
13,관악구,2024-12-18 16:00,0.003,0.4,0.024,0.015,34,51,1
14,강남구,2024-12-18 16:00,0.004,0.4,0.020,0.019,36,50,1
15,서초구,2024-12-18 16:00,0.003,0.3,0.014,0.016,37,-,1
16,도산대로,2024-12-18 16:00,0.004,0.8,0.020,0.018,45,58,1
17,강남대로,2024-12-18 16:00,0.004,0.7,0.013,0.028,43,58,1
18,송파구,2024-12-18 16:00,0.004,0.4,0.018,0.022,40,56,1
19,강동구,2024-12-18 16:00,0.005,0.6,0.021,0.022,40,55,1
20,천호대로,2024-12-18 16:00,0.004,0.5,0.016,0.024,39,59,1
21,금천구,2024-12-18 16:00,0.004,0.3,0.025,0.016,27,59,1
22,시흥대로,2024-12-18 16:00,0.004,0.4,0.026,0.018,30,48,1
23,강북구,2024-12-18 16:00,0.004,0.3,0.031,0.010,32,56,1
24,양천구,2024-12-18 16:00,0.004,0.3,0.028,0.012,33,54,1
25,노원구,2024-12-18 16:00,0.004,0.4,0.024,0.015,46,56,1
26,화랑로,2024-12-18 16:00,0.003,0.5,0.021,0.026,36,-,1
27,중구,2024-12-18 16:00,0.005,0.4,0.029,0.009,30,54,1
28,한강대로,2024-12-18 16:00,-,-,-,-,-,-,
29,종로구,2024-12-18 16:00,0.004,0.4,0.027,0.014,36,56,1
30,청계천로,2024-12-18 16:00,0.003,0.4,0.025,0.018,37,54,1
31,종로,2024-12-18 16:00,0.003,0.4,0.024,0.017,29,45,1
32,용산구,2024-12-18 16:00,0.003,0.4,0.017,0.019,40,54,1
33,광진구,2024-12-18 16:00,0.003,0.5,0.023,0.021,36,48,1
34,성동구,2024-12-18 16:00,0.003,0.4,0.018,0.023,41,53,1
35,강변북로,2024-12-18 16:00,0.004,0.6,0.014,0.030,44,63,1
36,중랑구,2024-12-18 16:00,-,-,-,-,-,-,
37,동대문구,2024-12-18 16:00,0.003,0.4,0.026,0.014,29,-,1
38,홍릉로,2024-12-18 16:00,0.004,0.5,0.020,0.022,37,47,1
39,성북구,2024-12-18 16:00,0.004,0.4,0.024,0.014,27,47,1
